created_at,text,url,replies,retweets,favorites,user
10/17/16 15:33,RT @WHLive: Watch as @POTUS speaks on the progress made to ensure every student has the opportunity to realize their potential: https://t.c_,https://twitter.com/BarackObama/status/788040236982939648,115,368,1316,BarackObama
10/17/16 15:30,Senate leaders have recognized Judge Garland's impeccable credentials in the past. He deserves a fair hearing and a_ https://t.co/w9bPtpSmm7,https://twitter.com/BarackObama/status/788039460411682817,352,3429,11144,BarackObama
10/14/16 21:17,We need a fully functional Supreme Court. Editorial boards across the country agree: https://t.co/BkLrNaTtzN #DoYourJob,https://twitter.com/BarackObama/status/787039774330748928,477,1025,3699,BarackObama
10/14/16 19:20,The American Bar Association gave Judge Garland its highest rating. Senate leaders: #DoYourJob and fill the #SCOTUS_ https://t.co/iTVTqGIUvV,https://twitter.com/BarackObama/status/787010142378332160,464,5479,13995,BarackObama
10/14/16 17:31,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/7MDQGYgX2u #ActOnClimate,https://twitter.com/BarackObama/status/786982739517943808,232,693,2701,BarackObama
10/14/16 16:18,"Cynics, take note: When we #ActOnClimate, we build a stronger future. https://t.co/wHHMdo2ro6",https://twitter.com/BarackObama/status/786964419905523712,282,1075,4153,BarackObama
10/13/16 21:30,"""Thats how we will overcome the challenges we face: by unleashing the power of all of us for all of us."" Read more: https://t.co/VxpwLIR4uF",https://twitter.com/BarackObama/status/786680553617629185,538,1950,6720,BarackObama
10/13/16 20:29,Check out the most recent editorial boards calling on Senate leaders to vote on Judge Garland: https://t.co/hzuhZYevfo #DoYourJob,https://twitter.com/BarackObama/status/786665200711786496,136,721,2546,BarackObama
10/13/16 18:29,"Senate leaders have undercut the functionality of the Supreme Court, and that's unacceptable. #DoYourJob https://t.co/5HFXhgTMoP",https://twitter.com/BarackObama/status/786634894629740544,457,2528,8804,BarackObama
10/13/16 16:53,Senate leaders' political games are handicapping the Supreme Courtand judgeships across the country. https://t.co/PhKOBKXLmS #DoYourJob,https://twitter.com/BarackObama/status/786610870180646913,182,1014,3140,BarackObama
10/13/16 15:24,"RT @WIRED: After eight years in office, @POTUS remains optimistic about the world's future. His essay as WIREDs guest editor: https://t.co_",https://twitter.com/BarackObama/status/786588412656562176,195,2583,5089,BarackObama
10/12/16 21:02,LIVE: President Obama is speaking at a reception celebrating #HispanicHeritageMonth. https://t.co/FK0ytbKw1q,https://twitter.com/BarackObama/status/786311063025451012,220,521,2192,BarackObama
